Data1_Date.ID_Date,DateTrans,SBC,TBC,SOC,TOC,Observer,Notes_Day,Analyses,Data2_Segments.ID_Segment,Data2_Segments.ID_Date,Segment,Length,DSLS,TN,SnowDepthStn,TranType,BunnyIndex,Notes_Transect,Data3_Tracks.ID_Segment,Species,LocEnter,LocExit,GroupSize,GroupType,GroupComposition,Habitat,Comments,latitude,longitude
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Marten,0.1,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Weasel,0.6,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Marten,0.7,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Weasel,0.7,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Marten,1.3,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Moose,2.3,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Weasel,2.5,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Weasel,3.1,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Moose,3.8,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Marten,4.1,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Marten,4.7,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,1,1,OAH-1,5.00,1,1,33,Complete,,,1,Marten,4.8,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,2,1,OAH-2,5.00,1,1,35,Complete,,,2,Marten,5.1,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,2,1,OAH-2,5.00,1,1,35,Complete,,,2,Marten,6.3,,1,,,,,,
1,21-Nov-2012,Sunny,-18,Cloudy,-25,Peter Upton,not many bunny tracks anywhere,TRUE,2,1,OAH-2,5.00,1,1,35,Complete,,,2,Marten,6.7,,1,,,,,,
